model,feature_set,Variable,Importance
svm_rbf,clinical,QIDS14.baseline,0
svm_rbf,clinical,QIDS15.baseline,0
svm_rbf,clinical,QIDS16.baseline,0
svm_rbf,clinical_biomarkers,age,0
svm_rbf,clinical_biomarkers,maritalStatus,0
svm_rbf,clinical_biomarkers,smokingStatus,0
svm_rbf,clinical_biomarkers,numChildren,0
svm_rbf,clinical_biomarkers,seasonalDepression,0
svm_rbf,clinical_biomarkers,socioEconomicStatus,0
svm_rbf,clinical_biomarkers,plasmaSerotonin,0
svm_rbf,clinical_biomarkers,MDD_severity,0
svm_rbf,clinical_biomarkers,AHR,0
svm_rbf,clinical_biomarkers,TSPAN5,0
svm_rbf,clinical_biomarkers,CYP2C19,0
svm_rbf,clinical_biomarkers,DEFB1,0
svm_rbf,clinical_biomarkers,SLC6A4,0
svm_rbf,clinical_biomarkers,COMT,0
svm_rbf,clinical_biomarkers,CYP2D6,0
svm_rbf,clinical_biomarkers,ERICH3,0
svm_rbf,clinical_biomarkers,QIDS1.baseline,0
svm_rbf,clinical_biomarkers,QIDS2.baseline,0
svm_rbf,clinical_biomarkers,QIDS3.baseline,0
svm_rbf,clinical_biomarkers,QIDS4.baseline,0
svm_rbf,clinical_biomarkers,QIDS5.baseline,0
svm_rbf,clinical_biomarkers,QIDS10.baseline,0
svm_rbf,clinical_biomarkers,QIDS11.baseline,0
svm_rbf,clinical_biomarkers,QIDS12.baseline,0
svm_rbf,clinical_biomarkers,QIDS13.baseline,0
svm_rbf,clinical_biomarkers,QIDS14.baseline,0
svm_rbf,clinical_biomarkers,QIDS15.baseline,0
svm_rbf,clinical_biomarkers,QIDS16.baseline,0
gbm,clinical,MDD_severity,100
gbm,clinical,seasonalDepression,32.69774809708375
gbm,clinical,age,27.249884082220433
gbm,clinical,socioEconomicStatus,18.609344162310144
gbm,clinical,QIDS1.baseline,16.51997084461066
gbm,clinical,QIDS3.baseline,15.298679031621354
gbm,clinical,maritalStatus,10.339248052106573
gbm,clinical,QIDS16.baseline,9.90465303804423
gbm,clinical,QIDS10.baseline,9.379108939025144
gbm,clinical,numChildren,8.801128378953111
gbm,clinical,QIDS12.baseline,7.771762223342654
gbm,clinical,smokingStatus,7.7203260027879
gbm,clinical,QIDS2.baseline,7.314060736120235
gbm,clinical,QIDS15.baseline,6.942718851152761
gbm,clinical,QIDS11.baseline,6.412474539444005
gbm,clinical,QIDS13.baseline,4.835826948189524
gbm,clinical,QIDS4.baseline,4.4129677834220304
gbm,clinical,QIDS5.baseline,3.526860231984341
gbm,clinical,QIDS14.baseline,1.1842622673899428
gbm,clinical_biomarkers,plasmaSerotonin,100
gbm,clinical_biomarkers,TSPAN5,93.955621712101
gbm,clinical_biomarkers,COMT,42.367121105890874
gbm,clinical_biomarkers,SLC6A4,15.027405682716587
gbm,clinical_biomarkers,AHR,12.756634277938872
gbm,clinical_biomarkers,ERICH3,12.37077849906592
gbm,clinical_biomarkers,MDD_severity,10.016515790543378
gbm,clinical_biomarkers,seasonalDepression,6.319272368897873
gbm,clinical_biomarkers,socioEconomicStatus,3.654219519646385
gbm,clinical_biomarkers,QIDS10.baseline,3.062429057117968
gbm,clinical_biomarkers,DEFB1,1.5962368156488491
gbm,clinical_biomarkers,QIDS1.baseline,1.3163035331153066
gbm,clinical_biomarkers,numChildren,1.080469680226557
gbm,clinical_biomarkers,age,0.9239490507075436
gbm,clinical_biomarkers,CYP2D6,0.651588551336762
gbm,clinical_biomarkers,QIDS11.baseline,0.3434429153865524
gbm,clinical_biomarkers,QIDS15.baseline,0.29887832253158714
gbm,clinical_biomarkers,CYP2C19,0.18842400507401383
gbm,clinical_biomarkers,smokingStatus,0.18562965542690676
gbm,clinical_biomarkers,maritalStatus,0.13834393768306938
gbm,clinical_biomarkers,QIDS3.baseline,0.12405658399876904
gbm,clinical_biomarkers,QIDS16.baseline,0.10418327101930544
gbm,clinical_biomarkers,QIDS13.baseline,0.07625188297228626
gbm,clinical_biomarkers,QIDS12.baseline,0.03006424013282776
gbm,clinical_biomarkers,QIDS5.baseline,0.02300837745160385
gbm,clinical_biomarkers,QIDS14.baseline,0.01887431182208803
gbm,clinical_biomarkers,QIDS2.baseline,0.01221006615783257
